Name,Source,Size,Type,Alignment,AC,HP,Speed,Strength,Dexterity,Constitution,Intelligence,Wisdom,Charisma,Saving Throws,Skills,Damage Vulnerabilities,Damage Resistances,Damage Immunities,Condition Immunities,Senses,Languages,CR,Traits,Actions,Bonus Actions,Reactions,Legendary Actions,Mythic Actions,Lair Actions,Regional Effects,Environment
Ice Mephit,MM,Small,elemental,neutral evil,11,21 (6d6),"30 ft., fly 30 ft.",7,13,10,9,11,12,,"Perception +2, Stealth +3","bludgeoning, fire",,"cold, poison",poisoned,"darkvision 60 ft., passive Perception 12","Aquan, Auran",0.5," Death Burst. When the mephit dies, it explodes in a burst of jagged ice. Each creature within 5 feet of it must make a DC 10 Dexterity saving throw, taking 4 (1d8) slashing damage on a failed save, or half as much damage on a successful one. False Appearance. While the mephit remains motionless, it is indistinguishable from an ordinary shard of ice. Innate Spellcasting (1/Day). The mephit can innately cast fog cloud, requiring no material components. Its innate spellcasting ability is Charisma."," Claws. Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 3 (1d4 + 1) slashing damage plus 2 (1d4) cold damage. Frost Breath (Recharge 6). The mephit exhales a 15-foot cone of cold air. Each creature in that area must succeed on a DC 10 Dexterity saving throw, taking 5 (2d4) cold damage on a failed save, or half as much damage on a successful one.",,,,,,,Arctic
Tribal Warrior,MM,Medium,humanoid (any race),any alignment,12 (hide armor),11 (2d8 + 2),30 ft.,13,11,12,8,11,8,,,,,,,passive Perception 10,any one language,0.125, Pack Tactics. The warrior has advantage on an attack roll against a creature if at least one of the warrior's allies is within 5 feet of the creature and the ally isn't incapacitated.," Spear. Melee or Ranged Weapon Attack: +3 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d6 + 1) piercing damage, or 5 (1d8 + 1) piercing damage if used with two hands to make a melee attack.",,,,,,,"Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Underdark"
Scout,MM,Medium,humanoid (any race),any alignment,13 (leather armor),16 (3d8 + 3),30 ft.,11,14,12,11,13,11,,"Nature +4, Perception +5, Stealth +6, Survival +5",,,,,passive Perception 15,any one language (usually Common),0.5, Keen Hearing and Sight. The scout has advantage on Wisdom (Perception) checks that rely on hearing or sight.," Multiattack. The scout makes two melee attacks or two ranged attacks. Shortsword. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage. Longbow. Ranged Weapon Attack: +4 to hit, ranged 150/600 ft., one target. Hit: 6 (1d8 + 2) piercing damage.",,,,,,,"Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Underdark"
Commoner,MM,Medium,humanoid (any race),any alignment,10,4 (1d8),30 ft.,10,10,10,10,10,10,,,,,,,passive Perception 10,any one language (usually Common),0.0,," Club. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage.",,,,,,,"Arctic, Coastal, Desert, Forest, Grassland, Hill, Urban"
Kobold,MM,Small,humanoid (kobold),lawful evil,12,5 (2d6 - 2),30 ft.,7,15,9,8,7,8,,,,,,,"darkvision 60 ft., passive Perception 8","Common, Draconic",0.125," Pack Tactics. The kobold has advantage on an attack roll against a creature if at least one of the kobold's allies is within 5 feet of the creature and the ally isn't incapacitated. Sunlight Sensitivity. While in sunlight, the kobold has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight."," Dagger. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage. Sling. Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. Hit: 4 (1d4 + 2) bludgeoning damage.",,,,,,,"Arctic, Coastal, Desert, Forest, Hill, Mountain, Swamp, Underdark, Urban"
Winged Kobold,MM,Small,humanoid (kobold),lawful evil,13,7 (3d6 - 3),"30 ft., fly 30 ft.",7,16,9,8,7,8,,,,,,,"darkvision 60 ft., passive Perception 8","Common, Draconic",0.25," Pack Tactics. The kobold has advantage on an attack roll against a creature if at least one of the kobold's allies is within 5 feet of the creature and the ally isn't incapacitated. Sunlight Sensitivity. While in sunlight, the kobold has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight."," Dagger. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) piercing damage. Dropped Rock. Ranged Weapon Attack: +5 to hit, one target directly below the kobold. Hit: 6 (1d6 + 3) bludgeoning damage.",,,,,,,"Arctic, Coastal, Desert, Forest, Hill, Mountain, Swamp, Underdark, Urban"
Bandit,MM,Medium,humanoid (any race),any non-lawful alignment,12 (leather armor),11 (2d8 + 2),30 ft.,11,12,12,10,10,10,,,,,,,passive Perception 10,any one language (usually Common),0.125,," Scimitar. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) slashing damage. Light Crossbow. Ranged Weapon Attack: +3 to hit, range 80/320 ft., one target. Hit: 5 (1d8 + 1) piercing damage.",,,,,,,"Arctic, Coastal, Desert, Forest, Hill, Urban"
Blood Hawk,MM,Small,beast,unaligned,12,7 (2d6),"10 ft., fly 60 ft.",6,14,10,3,14,5,,Perception +4,,,,,passive Perception 14,—,0.125, Keen Sight. The hawk has advantage on Wisdom (Perception) checks that rely on sight. Pack Tactics. The hawk has advantage on an attack roll against a creature if at least one of the hawk's allies is within 5 feet of the creature and the ally isn't incapacitated.," Beak. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage.",,,,,,,"Arctic, Coastal, Forest, Grassland, Hill, Mountain"
Half-Ogre (Ogrillon),MM,Large,giant,any chaotic alignment,12 (hide armor),30 (4d10 + 8),30 ft.,17,10,14,7,9,10,,,,,,,"darkvision 60 ft., passive Perception 9","Common, Giant",1.0,," Battleaxe. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 12 (2d8 + 3) slashing damage, or 14 (2d10 + 3) slashing damage if used with two hands. Javelin. Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 10 (2d6 + 3) piercing damage.",,,,,,,"Arctic, Desert, Forest, Hill, Mountain, Underdark, Urban"
Owl,MM,Tiny,beast,unaligned,11,1 (1d4 - 1),"5 ft., fly 60 ft.",3,13,8,2,12,7,,"Perception +3, Stealth +3",,,,,"darkvision 120 ft., passive Perception 13",—,0.0, Flyby. The owl doesn't provoke opportunity attacks when it flies out of an enemy's reach. Keen Hearing and Sight. The owl has advantage on Wisdom (Perception) checks that rely on hearing or sight.," Talons. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 1 slashing damage.",,,,,,,"Arctic, Forest"
