Name,Source,Rarity,Type,Attunement,Properties,Weight,Value,Text
Abacus,PHB,none,adventuring gear,,,2 lb.,2 gp,
Acid (vial),PHB,none,adventuring gear,,,1 lb.,25 gp,"As an action, you can splash the contents of this vial onto a creature within 5 feet of you or throw the vial up to 20 feet, shattering it on impact. In either case, make a ranged attack against a creature or object, treating the acid as an improvised weapon. On a hit, the target takes 2d6 acid damage."
Amulet,PHB,none,spellcasting focus,,,1 lb.,5 gp,"A holy symbol is a representation of a god or pantheon.A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield."
Arrows (20),PHB,none,ammunition,,,1 lb.,1 gp,
Azurite,DMG,none,treasure,,,,10 gp,An opaque mottled deep blue gemstone.
Backpack,PHB,none,adventuring gear,,,5 lb.,2 gp,"A backpack can hold one cubic foot or 30 pounds of gear. You can also strap items, such as a bedroll or a coil of rope, to the outside of a backpack."
Bagpipes,PHB,none,Instrument,,,6 lb.,30 gp,"If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Ball Bearings (bag of 1,000)",PHB,none,adventuring gear,,,2 lb.,1 gp,"As an action, you can spill these tiny metal balls from their pouch to cover a level area 10 feet square. A creature moving across the covered area must succeed on a DC 10 Dexterity saving throw or fall prone. A creature moving through the area at half speed doesn't need to make the saving throw."
Banded Agate,DMG,none,treasure,,,,10 gp,"A translucent striped brown, blue, white, or red gemstone."
Barrel,PHB,none,adventuring gear,,,70 lb.,2 gp,A barrel can hold 40 gallons of liquid or 4 cubic feet of solids.
Battleaxe,PHB,none,"weapon, martial weapon, melee weapon",,"1d8, slashing, - versatile (1d10)",4 lb.,10 gp, Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.
Bedroll,PHB,none,adventuring gear,,,7 lb.,1 gp,
Bell,PHB,none,adventuring gear,,,,1 gp,
Bit and bridle,PHB,none,tack and harness,,,1 lb.,2 gp,
Black velvet mask stitched with silver thread,DMG,none,treasure,,,,25 gp,
Block and Tackle,PHB,none,adventuring gear,,,5 lb.,1 gp,"A set of pulleys with a cable threaded through them and a hook to attach to objects, a block and tackle allows you to hoist up to four times the weight you can normally lift."
Blowgun,PHB,none,"weapon, range, martial weapon",,"1, piercing, - ammunition (25/100 ft.), loading",1 lb.,10 gp," Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make."
Blowgun Needles (50),PHB,none,ammunition,,,1 lb.,1 gp,
Blue Quartz,DMG,none,treasure,,,,10 gp,A transparent pale blue gemstone.
Book,PHB,none,adventuring gear,,,5 lb.,25 gp,"A book might contain poetry, historical accounts, information pertaining to a particular field of lore, diagrams and notes on gnomish contraptions, or just about anything else that can be represented using text or pictures. A book of spells is a spellbook."
