Name,Source,Rarity,Type,Attunement,Properties,Weight,Value,Text
Alchemist's Fire (flask),PHB,none,adventuring gear,,,1 lb.,50 gp,"This sticky, adhesive fluid ignites when exposed to air. As an action, you can throw this flask up to 20 feet, shattering it on impact. Make a ranged attack against a creature or object, treating the alchemist's fire as an improvised weapon. On a hit, the target takes 1d4 fire damage at the start of each of its turns. A creature can end this damage by using its action to make a DC 10 Dexterity check to extinguish the flames."
Alchemist's Supplies,PHB,none,Artisan's Tools,,,8 lb.,50 gp,"These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.Alchemist's supplies enable a character to produce useful concoctions, such as acid or alchemist's fire. Components. Alchemist's supplies include two glass beakers, a metal frame to hold a beaker in place over an open flame, a glass stirring rod, a small mortar and pestle, and a pouch of common alchemical ingredients, including salt, powdered iron, and purified water. Arcana. Proficiency with alchemist's supplies allows you to unlock more information on Arcana checks involving potions and similar materials. Investigation. When you inspect an area for clues, proficiency with alchemist's supplies grants additional insight into any chemicals or other substances that might have been used in the area. Alchemical Crafting. You can use this tool proficiency to create alchemical items. A character can spend money to collect raw materials, which weigh 1 pound for every 50 gp spent. The DM can allow a character to make a check using the indicated skill with advantage. As part of a long rest, you can use alchemist's supplies to make one dose of acid, alchemist's fire, antitoxin, oil, perfume, or soap. Subtract half the value of the created item from the total gp worth of raw materials you are carrying.Alchemist's SuppliesActivityDCCreate a puff of thick smoke10Identify a poison10Identify a substance15Start a fire15Neutralize acid20See the Tool Proficiencies entry for more information."
Amber,DMG,none,treasure,,,,100 gp,A transparent watery gold to rich gold gemstone.
Amethyst,DMG,none,treasure,,,,100 gp,A transparent deep purple gemstone.
Antitoxin (vial),PHB,none,adventuring gear,,,,50 gp,A creature that drinks this vial of liquid gains advantage on saving throws against poison for 1 hour. It confers no benefit to undead or constructs.
Basic Poison (vial),PHB,none,"adventuring gear, poison",,,,100 gp,"You can use the poison in this vial to coat one slashing or piercing weapon or up to three pieces of ammunition. Applying the poison takes an action. A creature hit by the poisoned weapon or ammunition must make a DC 10 Constitution saving throw or take 1d4 poison damage. Once applied, the poison retains potency for 1 minute before drying."
Bloodstone,DMG,none,treasure,,,,50 gp,An opaque dark gray with red flecks gemstone.
Carnelian,DMG,none,treasure,,,,50 gp,An opaque orange to red-brown gemstone.
Chain Mail,PHB,none,heavy armor,,AC 16,55 lb.,75 gp,"Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
Chain Shirt,PHB,none,medium armor,,AC 13 + Dex (max 2),20 lb.,50 gp,"Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers."
